Time,IRP Operation,FSF Operation,FIO Operation,IRP Flags,IRP Major Opn,IRP Minor Opn,IRP Status,File Object,File Accesed,Buffer Length,Entropy,label
435,7796.0,38.0,24.0,0.0,1828.0,0.0,0.7920728578758338,537.0,537.0,0.0,0.0,0
440,4047.0,40.0,31.0,0.0,919.0,0.0,0.7635285396590067,237.0,237.0,0.0,0.0,0
445,4413.0,11.0,10.0,0.0,1227.0,0.0,0.7020167686381147,182.0,182.0,0.0,0.0,0
450,4470.0,13.0,0.0,0.0,1070.0,0.0,0.7241610738255033,467.0,467.0,0.0,0.0,0
455,4172.0,3.0,10.0,0.0,1076.0,0.0,0.7229146692233941,196.0,196.0,0.0,0.0,0
460,4934.0,26.0,47.0,0.0,1479.0,0.0,0.6872719902715849,243.0,243.0,0.0,0.0,0
465,10780.0,10.0,2.0,0.0,3318.0,0.0,0.7450834879406308,478.0,478.0,0.0,0.0,0
470,12914.0,61.0,48.0,0.0,3935.0,0.0,0.6784110267926281,1766.0,1766.0,0.0,0.0,0
475,19637.0,161.0,17.0,0.0,6802.0,0.0,0.6733207720120181,2388.0,2388.0,0.0,0.0,0
480,37469.0,433.0,576.0,0.0,9644.0,0.0,0.7371693933651818,7797.0,7797.0,0.0,0.0,0
485,41865.0,652.0,662.0,0.0,11336.0,0.0,0.7663442016003822,6788.0,6788.0,0.0,0.0,0
490,8330.0,49.0,243.0,0.0,2374.0,0.0,0.7366146458583434,716.0,716.0,0.0,0.0,0
495,3738.0,22.0,24.0,0.0,902.0,0.0,0.7450508293204923,234.0,234.0,0.0,0.0,0
500,5340.0,41.0,12.0,0.0,1343.0,0.0,0.7318352059925094,470.0,470.0,0.0,0.0,0
505,3988.0,21.0,10.0,0.0,1010.0,0.0,0.7379638916750251,228.0,228.0,0.0,0.0,0
510,3430.0,3.0,4.0,0.0,880.0,0.0,0.7311953352769679,235.0,235.0,0.0,0.0,0
